ShowID;"Show name";"Model ID";"Model Name";Collection;"Release date";Set
a0861;"Right hook";286;"Ally Style";"iStripper Classic";2011-04-22;http://g.isbnrs.com/a0861.zip
a0860;"Black stars";364;"Blanca Brooke";"iStripper Classic";2011-04-29;http://g.isbnrs.com/a0860.zip
a0859;"Quiet morning";364;"Blanca Brooke";"iStripper Classic";2011-05-20;http://g.isbnrs.com/a0859.zip
a0858;"Red fever";364;"Blanca Brooke";"iStripper Classic";2011-04-08;http://g.isbnrs.com/a0858.zip
a0857;"London mansion";364;"Blanca Brooke";"iStripper Classic";2011-03-11;http://g.isbnrs.com/a0857.zip
a0856;"Innocent eyes";364;"Blanca Brooke";"iStripper Classic";2011-06-03;http://g.isbnrs.com/a0856.zip
a0855;"Tender kiss";364;"Blanca Brooke";"iStripper Classic";2011-06-17;http://g.isbnrs.com/a0855.zip
a0854;"Sexy convict";363;Eliska;"iStripper Classic";2011-04-01;http://g.isbnrs.com/a0854.zip
a0853;"Summer ball";363;Eliska;"iStripper ";2011-05-27;http://g.isbnrs.com/a0853.zip
a0852;"Body heat";363;Eliska;"iStripper Classic";2011-04-08;http://g.isbnrs.com/a0852.zip
a0851;"Sweet torture";363;Eliska;"iStripper Classic";2011-04-29;http://g.isbnrs.com/a0851.zip
a0850;"Extra time";363;Eliska;"iStripper Classic";2011-03-04;http://g.isbnrs.com/a0850.zip
a0849;"Pink bar";363;Eliska;"iStripper Classic";2011-05-13;http://g.isbnrs.com/a0849.zip
a0848;"Campus room";358;Coxy;"iStripper Classic";2011-03-25;http://g.isbnrs.com/a0848.zip
a0847;"Gourmet club";358;Coxy;"iStripper Classic";2011-02-18;http://g.isbnrs.com/a0847.zip
a0846;"Sensual time";358;Coxy;"iStripper Classic";2011-03-11;http://g.isbnrs.com/a0846.zip
a0845;"Narrow street";358;Coxy;"iStripper Classic";2011-05-06;http://g.isbnrs.com/a0845.zip
a0844;"White lotus";358;Coxy;"iStripper Classic";2011-04-08;http://g.isbnrs.com/a0844.zip
a0843;"Bikini summer";358;Coxy;"iStripper Classic";2011-04-22;http://g.isbnrs.com/a0843.zip
a0842;"Heart of gold";330;Elisa;"iStripper Classic";2011-04-15;http://g.isbnrs.com/a0842.zip
a0841;"Strip bar";330;Elisa;"iStripper Classic";2011-03-04;http://g.isbnrs.com/a0841.zip
a0840;"Jet set party";330;Elisa;"iStripper Classic";2011-02-11;http://g.isbnrs.com/a0840.zip
a0839;Nightfall;330;Elisa;"iStripper Classic";2011-04-01;http://g.isbnrs.com/a0839.zip
a0838;"Little surprise";330;Elisa;"iStripper Classic";2011-05-06;http://g.isbnrs.com/a0838.zip
a0837;"College romance";330;Elisa;"iStripper Classic";2011-03-18;http://g.isbnrs.com/a0837.zip
a0836;"Winter evening";329;Pepito;"iStripper Classic";2011-04-15;http://g.isbnrs.com/a0836.zip
a0835;"Jungle warfare";329;Pepito;"iStripper Classic";2011-03-18;http://g.isbnrs.com/a0835.zip
a0834;"Substitute nurse";329;Pepito;"iStripper Classic";2011-04-01;http://g.isbnrs.com/a0834.zip
a0833;"Black cherry";329;Pepito;"iStripper Classic";2011-02-04;http://g.isbnrs.com/a0833.zip
a0832;Savanna;329;Pepito;"iStripper Classic";2011-02-25;http://g.isbnrs.com/a0832.zip
a0831;"Lime cocktail";329;Pepito;"iStripper Classic";2011-04-29;http://g.isbnrs.com/a0831.zip
a0830;"Lazy day";310;"Mandy Dee";"iStripper ";2011-03-25;http://g.isbnrs.com/a0830.zip
a0829;"Sexual desire";310;"Mandy Dee";"iStripper ";2011-01-14;http://g.isbnrs.com/a0829.zip
a0828;"Final exam";310;"Mandy Dee";"iStripper ";2011-03-04;http://g.isbnrs.com/a0828.zip
a0827;"Personal nurse";310;"Mandy Dee";"iStripper ";2011-02-11;http://g.isbnrs.com/a0827.zip
a0826;"Remand centre";309;"Aletta Ocean";"iStripper Classic";2011-02-18;http://g.isbnrs.com/a0826.zip
a0825;"Big Snowflakes";317;"Aletta Ocean & Mandy Dee";"iStripper Classic";2010-12-17;http://g.isbnrs.com/a0825.zip
a0824;"Black dragon";309;"Aletta Ocean";"iStripper Classic";2011-02-04;http://g.isbnrs.com/a0824.zip
a0823;"Red pearl";309;"Aletta Ocean";"iStripper Classic";2011-01-07;http://g.isbnrs.com/a0823.zip
a0822;"Big kitten";309;"Aletta Ocean";"iStripper Classic";2011-03-11;http://g.isbnrs.com/a0822.zip
a0818;"Midnight kiss";334;"Blue Angel & Davon Kim";"iStripper Classic";2011-01-28;http://g.isbnrs.com/a0818.zip
a0817;"Naughty kitten";300;"Angelica Kitten";"iStripper Classic";2011-03-18;http://g.isbnrs.com/a0817.zip
a0816;"Palmetto bay";300;"Angelica Kitten";"iStripper ";2011-01-07;http://g.isbnrs.com/a0816.zip
a0815;"Chicago club";300;"Angelica Kitten";"iStripper Classic";2011-02-04;http://g.isbnrs.com/a0815.zip
a0814;"Deep jungle";300;"Angelica Kitten";"iStripper Classic";2011-04-01;http://g.isbnrs.com/a0814.zip
a0813;"Queen bee";300;"Angelica Kitten";"iStripper Classic";2011-02-25;http://g.isbnrs.com/a0813.zip
a0812;"Black crystal";318;"Kristine Crystalis";"iStripper Classic";2010-12-31;http://g.isbnrs.com/a0812.zip
a0811;"Red crystal";318;"Kristine Crystalis";"iStripper Classic";2011-03-11;http://g.isbnrs.com/a0811.zip
a0810;"Boat party";318;"Kristine Crystalis";"iStripper Classic";2011-01-21;http://g.isbnrs.com/a0810.zip
a0809;"Private reception";318;"Kristine Crystalis";"iStripper Classic";2011-02-04;http://g.isbnrs.com/a0809.zip
a0808;"Hazzard county";318;"Kristine Crystalis";"iStripper Classic";2011-02-25;http://g.isbnrs.com/a0808.zip
